,Attrition,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
0,0,27,8,3,5,132450,1.0,23,1,9.0,3,9,0,7,4,3,4.0,3.0,3.0
1,0,58,18,3,2,24500,3.0,12,1,32.0,2,9,1,5,3,4,4.0,4.0,4.0
2,0,34,6,2,1,24390,3.0,11,2,14.0,2,7,5,7,3,3,4.0,3.0,4.0
3,0,29,1,2,3,26780,1.0,25,1,1.0,3,1,0,0,4,3,3.0,3.0,4.0
4,0,30,11,3,5,27950,3.0,13,0,9.0,4,4,1,3,3,4,3.0,4.0,4.0
5,0,35,12,3,3,65490,1.0,20,0,9.0,3,9,1,8,4,4,4.0,4.0,4.0
6,1,25,6,2,3,26600,5.0,7,0,6.0,3,2,0,2,2,2,3.0,4.0,1.0
7,0,34,2,3,2,53430,1.0,12,0,10.0,5,10,4,8,3,3,4.0,4.0,4.0
8,0,50,2,2,3,43770,5.0,12,1,19.0,2,14,1,11,3,4,2.0,2.0,4.0
9,1,37,29,3,1,137580,1.0,5,1,10.0,5,10,0,8,3,2,3.0,4.0,3.0
10,0,29,7,3,1,111030,1.0,12,0,10.0,5,10,0,9,3,4,2.0,2.0,4.0
11,0,37,6,4,1,75870,0.0,22,1,7.0,5,6,1,3,4,3,4.0,4.0,2.0
12,0,38,8,3,4,181720,6.0,12,2,6.0,5,1,0,1,3,4,4.0,3.0,4.0
13,0,28,1,3,4,67810,0.0,15,1,10.0,2,9,1,7,3,4,4.0,3.0,2.0
14,0,42,1,1,2,78790,2.0,14,1,11.0,2,5,0,2,3,1,3.0,4.0,3.0
15,0,41,2,3,3,35970,3.0,18,1,11.0,2,3,1,2,3,4,4.0,3.0,3.0
16,0,53,9,4,2,21480,3.0,11,0,21.0,2,5,1,3,3,4,3.0,1.0,3.0
17,0,32,8,4,1,87400,2.0,11,1,12.0,2,7,0,7,3,4,1.0,2.0,3.0
18,0,31,1,3,3,20440,0.0,21,0,10.0,2,9,7,8,4,4,2.0,3.0,4.0
19,0,56,16,4,3,53210,9.0,14,0,36.0,1,7,7,7,3,3,4.0,3.0,1.0
20,0,29,1,2,2,42400,1.0,14,0,10.0,2,10,0,9,3,4,1.0,3.0,3.0
21,0,36,1,3,2,35050,1.0,12,2,10.0,2,10,1,8,3,3,4.0,4.0,4.0
22,0,35,16,2,1,51540,0.0,19,0,12.0,2,11,6,9,3,3,3.0,2.0,2.0
23,0,40,9,3,2,70050,1.0,20,2,21.0,2,20,9,9,4,4,4.0,4.0,3.0
24,0,39,8,3,2,26840,4.0,12,0,7.0,2,5,1,0,3,4,4.0,3.0,4.0
25,0,40,22,2,3,102740,4.0,14,0,12.0,3,5,0,3,3,4,4.0,4.0,4.0
26,1,27,32,3,2,22930,0.0,15,0,5.0,0,4,0,2,3,1,3.0,3.0,1.0
27,0,39,6,5,2,188240,6.0,12,1,10.0,4,3,1,2,3,4,3.0,3.0,4.0
28,0,31,7,4,1,46840,1.0,16,1,2.0,4,2,2,2,3,3,3.0,4.0,3.0
29,0,35,5,3,3,31020,1.0,13,1,6.0,3,5,1,4,3,2,4.0,4.0,3.0
30,1,29,16,2,1,52200,1.0,11,0,1.0,3,1,1,0,3,2,2.0,3.0,1.0
31,0,28,6,3,4,11180,1.0,19,0,7.0,3,7,0,7,3,3,3.0,2.0,3.0
32,0,38,1,4,2,36690,2.0,19,0,10.0,2,8,7,7,3,4,2.0,4.0,2.0
33,1,44,1,2,2,103330,3.0,10,1,19.0,2,1,0,0,1,1,2.0,1.0,1.0
34,0,47,6,4,3,69310,1.0,11,0,20.0,3,19,2,7,3,4,4.0,3.0,3.0
35,0,45,6,1,2,33190,1.0,12,1,9.0,3,9,0,8,3,2,4.0,4.0,3.0
36,0,37,7,4,2,20860,4.0,14,0,17.0,3,3,1,0,3,3,4.0,4.0,4.0
37,0,33,6,5,2,82240,6.0,19,0,14.0,3,10,7,6,3,3,4.0,3.0,1.0
38,1,23,2,3,4,45590,1.0,11,1,1.0,2,0,0,0,1,2,4.0,3.0,2.0
39,0,38,23,3,1,37220,5.0,14,0,6.0,0,3,1,2,3,2,2.0,3.0,2.0
40,0,34,22,3,1,107930,0.0,11,3,3.0,1,2,1,2,3,4,3.0,3.0,2.0
41,0,35,2,3,2,21570,1.0,25,0,16.0,1,16,1,10,4,1,4.0,4.0,4.0
42,1,21,1,4,1,57750,1.0,12,0,1.0,2,1,1,0,1,2,3.0,2.0,1.0
43,0,36,1,2,2,86060,1.0,13,2,17.0,3,17,12,8,3,1,4.0,4.0,2.0
44,0,55,21,3,1,104480,2.0,13,0,30.0,3,5,1,2,3,2,4.0,3.0,3.0
45,1,27,32,3,2,22930,0.0,11,0,5.0,0,4,0,2,3,4,3.0,1.0,1.0
46,0,52,2,3,1,45070,1.0,12,0,33.0,3,33,15,12,3,4,1.0,4.0,4.0
47,0,35,6,2,1,22770,1.0,12,1,3.0,2,3,1,2,3,3,3.0,2.0,3.0
48,0,33,21,2,1,42300,0.0,12,0,15.0,0,14,4,10,3,4,4.0,4.0,4.0
49,0,46,16,3,3,40350,4.0,16,1,14.0,2,9,0,8,3,2,2.0,3.0,3.0
50,0,26,23,4,1,63890,0.0,22,0,8.0,2,7,0,7,4,2,2.0,2.0,3.0
51,0,29,4,3,1,51300,4.0,11,0,8.0,3,3,1,2,3,4,1.0,4.0,3.0
52,0,41,14,2,1,52080,3.0,11,3,12.0,2,9,0,7,3,3,4.0,4.0,2.0
53,0,54,1,3,2,22970,6.0,18,2,29.0,2,20,12,7,3,3,3.0,2.0,4.0
54,0,25,6,4,1,22160,2.0,13,3,6.0,2,3,1,2,3,4,4.0,2.0,4.0
55,0,35,2,1,3,106090,1.0,22,0,10.0,3,10,0,7,4,3,4.0,4.0,2.0
56,1,26,2,3,2,48210,6.0,5,2,6.0,2,3,1,2,3,2,3.0,2.0,1.0
57,1,34,2,1,1,134990,4.0,20,2,11.0,2,7,0,7,3,4,1.0,3.0,1.0
58,0,33,2,3,1,87930,6.0,17,0,8.0,2,5,1,2,3,2,4.0,3.0,1.0
59,1,34,8,3,1,56170,8.0,15,1,9.0,3,5,0,4,3,2,3.0,2.0,2.0
60,0,30,23,3,1,25460,1.0,14,1,10.0,2,10,8,9,3,3,3.0,4.0,2.0
61,0,39,2,4,2,47240,2.0,12,1,21.0,4,6,1,3,3,3,4.0,4.0,2.0
62,0,35,2,1,1,187400,1.0,19,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0
63,0,35,11,1,2,79880,1.0,18,0,4.0,3,4,1,1,3,4,4.0,4.0,4.0
64,1,31,2,2,2,53960,7.0,13,1,3.0,2,1,0,0,2,2,1.0,3.0,2.0
65,0,38,20,3,2,163280,1.0,17,3,10.0,2,10,9,9,3,4,4.0,4.0,3.0
66,0,43,6,5,3,22580,4.0,18,0,7.0,2,3,1,2,3,4,1.0,4.0,3.0
67,1,47,5,3,1,27740,4.0,10,1,8.0,2,5,1,3,2,2,2.0,3.0,2.0
68,0,48,19,3,2,16010,4.0,12,0,15.0,3,2,2,2,3,3,3.0,4.0,3.0
69,0,38,2,4,3,50790,3.0,11,0,10.0,3,5,0,2,3,2,4.0,4.0,4.0
70,1,31,35,3,2,25150,1.0,11,0,7.0,3,7,7,7,1,1,4.0,3.0,1.0
71,0,60,14,4,1,40250,3.0,13,1,19.0,5,1,0,0,3,3,3.0,3.0,4.0
72,0,47,1,4,3,183030,6.0,22,1,29.0,2,3,1,2,4,3,4.0,2.0,4.0
73,0,36,18,4,1,29500,4.0,14,0,8.0,1,6,0,0,3,3,4.0,4.0,4.0
74,0,51,13,3,3,94390,2.0,15,3,29.0,0,20,4,17,3,4,3.0,2.0,4.0
75,0,31,1,3,3,20440,0.0,21,0,10.0,2,9,7,8,4,3,2.0,2.0,4.0
76,0,41,5,3,1,27730,1.0,11,0,19.0,3,19,11,9,3,3,4.0,3.0,4.0
77,0,33,12,3,4,194360,1.0,19,2,10.0,4,10,6,0,3,2,3.0,3.0,3.0
78,0,34,5,4,2,96130,0.0,12,1,16.0,5,15,0,9,3,1,4.0,3.0,3.0
79,0,41,23,3,2,52940,2.0,15,0,17.0,3,1,0,0,3,3,3.0,3.0,4.0
80,0,42,16,2,2,72950,1.0,15,0,10.0,3,9,7,8,3,1,4.0,1.0,4.0
