,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
0,0,36,19,63970,4.0,14,11.0,3,3,0,2,3,3,2.0,4.0,3.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,-0.10115885313749257,1.5493778618824803,-0.022508138210387385,0.5234888158566704,-0.08974426804216784,-0.036012118647215895,0.1557070814399298,-0.6544537372115486,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,0.960985988256784,-0.017727612261845094
1,1,39,1,67550,7.0,9,21.0,2,18,11,5,3,3,3.0,2.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.22734670086570485,-0.9766986801038673,0.05355921911016105,1.7267549424104864,-1.2890540318784103,1.250427282054064,-0.6201892226844657,1.794749403575051,2.7355886789461965,0.2458339946348355,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-1.1504897316868,-1.113343986979815
2,0,49,2,42270,4.0,18,17.0,3,2,2,2,3,4,3.0,4.0,3.0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.3223652142096962,-0.836361094437959,-0.4835868124718123,0.5234888158566704,0.8697035430268261,0.7358515217735521,0.1557070814399298,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.049909597077369375,0.960985988256784,-0.017727612261845094
3,1,39,1,42840,4.0,10,12.0,0,1,0,0,1,3,3.0,4.0,2.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.22734670086570485,-0.9766986801038673,-0.47147552932300985,0.5234888158566704,-1.0491920791111617,0.0926318214229121,-2.171981830933257,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,-3.104327829617394,-0.03134733829702275,0.049909597077369375,0.960985988256784,-1.113343986979815
4,0,36,7,119350,1.0,11,7.0,6,7,1,7,3,3,4.0,2.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.10115885313749257,-0.134673166108418,1.1541986350890463,-0.6797773106971454,-0.8093301263439133,-0.5505878789277279,2.4833959938131165,-0.0013328996684553085,-0.3687152874355457,0.8065414765793013,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-1.1504897316868,1.0778887624561249
5,0,40,7,45230,5.0,16,5.0,5,0,0,0,3,4,2.0,3.0,3.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0.33684855220010396,-0.134673166108418,-0.4206931315587331,0.9245775247079423,0.3899796374923291,-0.8078757590679838,1.707499689688721,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,1.1303481397691186,-0.8934248131996299,-0.0947518717150079,-0.017727612261845094
6,0,50,20,32020,2.0,24,32.0,2,2,2,2,4,4,4.0,2.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.4318670655440953,1.6897154475483886,-0.7013774304985222,-0.2786886018458735,2.308875259630317,2.665510622825472,-0.6201892226844657,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,1.6245446154992582,1.1303481397691186,0.9932440073543686,-1.1504897316868,-0.017727612261845094
7,1,21,12,53730,1.0,7,1.0,2,1,0,0,3,2,1.0,4.0,1.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1.7436866231534796,0.567014762221123,-0.2400862775853639,-0.6797773106971454,-1.7687779374129073,-1.3224515193484958,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-1.1930428163631641,-1.836759223476629,0.960985988256784,-2.208960361697785
8,0,47,1,135700,5.0,16,20.0,2,5,0,4,3,2,3.0,2.0,2.0,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1.103361511540898,-0.9766986801038673,1.5016012306731155,0.9245775247079423,0.3899796374923291,1.121783341983936,-0.6201892226844657,-0.32789331844000197,-0.6791456840737199,-0.034519746337397406,0.04825380046037423,-1.1930428163631641,0.049909597077369375,-1.1504897316868,-1.113343986979815
9,0,50,2,42940,2.0,20,32.0,2,30,12,13,4,4,3.0,4.0,4.0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1.4318670655440953,-0.836361094437959,-0.4693507428056761,-0.2786886018458735,1.3494274485613231,2.665510622825472,-0.6201892226844657,3.754111916204331,3.0460190755843706,2.4886639224126985,1.6245446154992582,1.1303481397691186,0.049909597077369375,0.960985988256784,1.0778887624561249
10,0,33,2,59140,3.0,16,6.0,4,3,0,2,3,4,3.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,-0.42966440714069,-0.836361094437959,-0.12513532699760777,0.12240010700539844,0.3899796374923291,-0.6792318189978559,0.9316033855643254,-0.6544537372115486,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.049909597077369375,0.960985988256784,1.0778887624561249
11,0,35,23,50030,9.0,15,10.0,2,1,0,0,3,3,2.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,-0.2106607044718917,2.1107282045461133,-0.31870337872671284,2.5289323601130302,0.15011768472508064,-0.16465605871734387,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,0.960985988256784,1.0778887624561249
12,0,30,16,46610,1.0,11,12.0,3,12,1,7,3,3,3.0,2.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.7581699611438873,1.1283651048847558,-0.3913710776195273,-0.6797773106971454,-0.8093301263439133,0.0926318214229121,0.1557070814399298,0.8150681472604113,-0.3687152874355457,0.8065414765793013,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-1.1504897316868,-0.017727612261845094
13,1,26,2,65780,0.0,13,6.0,3,5,1,4,3,2,1.0,3.0,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,-1.1961773664814839,-0.836361094437959,0.015950497753353582,-1.0808660195484174,-0.3296062208094163,-0.6792318189978559,0.1557070814399298,-0.32789331844000197,-0.3687152874355457,-0.034519746337397406,0.04825380046037423,-1.1930428163631641,-1.836759223476629,-0.0947518717150079,-1.113343986979815
14,0,50,16,154020,4.0,21,25.0,3,3,1,2,4,3,2.0,1.0,4.0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1.4318670655440953,1.1283651048847558,1.8908621206486593,0.5234888158566704,1.5892894013285717,1.765003042334576,0.1557070814399298,-0.6544537372115486,-0.3687152874355457,-0.5952272282818631,1.6245446154992582,-0.03134733829702275,-0.8934248131996299,-2.206227591658592,1.0778887624561249
15,1,31,11,168850,2.0,6,10.0,2,1,0,0,3,2,3.0,3.0,2.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.6486681098094882,0.4266771765552148,2.205967961169255,-0.2786886018458735,-2.008639890180156,-0.16465605871734387,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-1.1930428163631641,0.049909597077369375,-0.0947518717150079,-1.113343986979815
16,0,35,5,94190,1.0,24,6.0,5,6,1,1,4,3,4.0,4.0,3.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,-0.2106607044718917,-0.4153483374402344,0.6196023473278734,-0.6797773106971454,2.308875259630317,-0.6792318189978559,1.707499689688721,-0.16461310905422863,-0.3687152874355457,-0.875580969254096,1.6245446154992582,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
17,0,49,7,190330,2.0,18,7.0,5,4,0,2,3,4,3.0,2.0,4.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1.3223652142096962,-0.134673166108418,2.6623721050925457,-0.2786886018458735,0.8697035430268261,-0.5505878789277279,1.707499689688721,-0.4911735278257753,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.049909597077369375,-1.1504897316868,1.0778887624561249
18,0,36,19,63970,4.0,14,11.0,3,3,0,2,3,4,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,-0.10115885313749257,1.5493778618824803,-0.022508138210387385,0.5234888158566704,-0.08974426804216784,-0.036012118647215895,0.1557070814399298,-0.6544537372115486,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
19,0,33,7,76420,2.0,20,8.0,2,2,2,2,4,1,4.0,3.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,-0.42966440714069,-0.134673166108418,0.24202778319766513,-0.2786886018458735,1.3494274485613231,-0.42194393885759984,-0.6201892226844657,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,1.6245446154992582,-2.3547382944293056,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
20,0,38,2,44900,2.0,11,10.0,1,5,0,3,4,2,3.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.11784484953130571,-0.836361094437959,-0.4277049270659345,-0.2786886018458735,-0.8093301263439133,-0.16465605871734387,-1.3960855268088614,-0.32789331844000197,-0.6791456840737199,-0.3148734873096303,1.6245446154992582,-1.1930428163631641,0.049909597077369375,0.960985988256784,1.0778887624561249
21,1,19,5,76440,1.0,7,1.0,2,1,0,0,1,1,4.0,2.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.9626903258222779,-0.4153483374402344,0.24245274050113189,-0.6797773106971454,-1.7687779374129073,-1.3224515193484958,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,-3.104327829617394,-2.3547382944293056,0.9932440073543686,-1.1504897316868,-0.017727612261845094
22,0,35,2,187400,1.0,19,1.0,2,1,0,0,3,3,3.0,2.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,-0.2106607044718917,-0.836361094437959,2.600115860134667,-0.6797773106971454,1.1095654957940746,-1.3224515193484958,-0.6201892226844657,-0.9810141559830953,-0.6791456840737199,-1.1559347102263289,0.04825380046037423,-0.03134733829702275,0.049909597077369375,-1.1504897316868,-0.017727612261845094
23,0,39,5,106090,2.0,17,10.0,2,7,7,7,3,2,2.0,3.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.22734670086570485,-0.4153483374402344,0.8724519428905904,-0.2786886018458735,0.6298415902595776,-0.16465605871734387,-0.6201892226844657,-0.0013328996684553085,1.4938670923934996,0.8065414765793013,0.04825380046037423,-1.1930428163631641,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
24,0,40,2,75960,9.0,11,20.0,0,18,2,13,3,3,4.0,3.0,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0.33684855220010396,-0.836361094437959,0.23225376521792987,2.5289323601130302,-0.8093301263439133,1.121783341983936,-2.171981830933257,1.794749403575051,-0.058284890797371494,2.4886639224126985,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
