,Attrition,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research_Development,Department_Sales,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
2615,0,25,2,3,1,190940,1.0,16,0,7.0,3,7,0,6,1,3,3.0,4.0,4.0,0,1,1,0,0,0,0,0,0,1,0,0,-1.3048307978023597,-0.8389620245449556,2.670842100710304,-0.6768031377250224,0.3833416558449961,-0.5506029025050875,0.16026171399270664,-0.0029413780758083497,-0.6822315785752746,0.5252044166005891,-3.136393570592474,-0.0377479481323154,0.04566222675178887,0.9580522241664822,1.0722787375213743
1347,0,57,2,2,4,63060,3.0,12,1,32.0,3,1,0,0,3,4,3.0,4.0,2.0,0,1,1,0,0,0,0,0,0,1,0,0,2.1952001982081217,-0.8389620245449556,-0.043399027079969114,0.1250252101708786,-0.5777042559274024,2.65931948079663,0.16026171399270664,-0.9824202773199988,-0.6822315785752746,-1.1593670228639328,0.03998910974319561,1.1294725337590612,0.04566222675178887,0.9580522241664822,-1.113170723274308
2043,0,53,8,4,2,20700,4.0,13,2,27.0,2,3,0,2,3,4,1.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1.7576963237068115,0.004448573648746392,-0.9424860944337067,0.5259393841188291,-0.3374427779843027,2.0173350041362865,-0.6175106625481307,-0.6559273109052687,-0.6822315785752746,-0.5978432097090922,0.03998910974319561,1.1294725337590612,-1.8369261504719565,-2.2006744159071667,-1.113170723274308
1255,0,43,6,4,4,24390,0.0,15,0,9.0,2,8,1,7,3,3,4.0,2.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0,0.663936637453536,-0.27668829241582094,-0.8641661870084165,-1.077717311672973,0.14308017790189648,-0.2938091118409501,-0.6175106625481307,0.1603051051315567,-0.3710546210731817,0.8059663231780094,0.03998910974319561,-0.0377479481323154,0.9869564153636615,-1.1477655358826173,1.0722787375213743
26,0,36,4,3,3,54050,4.0,14,0,10.0,2,8,7,7,2,2,4.0,4.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0,-0.1016951429237567,-0.5578251584803883,-0.23463544060350963,0.5259393841188291,-0.09718130004120312,-0.16541221650888138,-0.6175106625481307,0.1603051051315567,1.496007123939376,0.8059663231780094,-1.5482022304246392,-1.204968430023692,0.9869564153636615,0.9580522241664822,-0.020445992876466822
2501,0,27,9,2,1,43930,1.0,18,1,8.0,2,8,0,7,3,4,4.0,3.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,-1.0860788605517047,0.14501700668103007,-0.4494315010761212,-0.6768031377250224,0.8638646117311953,-0.42220600717301876,-0.6175106625481307,0.1603051051315567,-0.6822315785752746,0.8059663231780094,0.03998910974319561,1.1294725337590612,0.9869564153636615,-0.0948566558580675,1.0722787375213743
3800,1,48,12,2,1,63470,2.0,5,1,19.0,3,9,7,7,2,1,2.0,1.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1.2108164805801738,0.5667223057778811,-0.03469681514382576,-0.2758889637770719,-2.2595346015291,0.9901598414797369,0.16026171399270664,0.3235515883389218,1.496007123939376,0.8059663231780094,-1.5482022304246392,-2.3721889119150683,-0.8956319618600838,-2.2006744159071667,-0.020445992876466822
4111,1,31,12,1,1,41890,0.0,18,1,6.0,3,5,1,4,3,2,3.0,4.0,3.0,1,0,1,0,0,0,0,0,0,1,0,0,-0.6485749860503944,0.5667223057778811,-0.4927303116852247,-1.077717311672973,0.8638646117311953,-0.6789997978371561,0.16026171399270664,-0.3294343444905385,-0.3710546210731817,-0.03631939655425154,0.03998910974319561,-1.204968430023692,0.04566222675178887,0.9580522241664822,-0.020445992876466822
102,0,24,1,3,5,28970,1.0,18,3,5.0,4,5,0,3,2,2,4.0,3.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,-1.4142067664276872,-0.9795304575772393,-0.766956112209547,-0.6768031377250224,0.8638646117311953,-0.8073966931692249,0.938034090533544,-0.3294343444905385,-0.6822315785752746,-0.3170813031316719,-1.5482022304246392,-1.204968430023692,0.9869564153636615,-0.0948566558580675,1.0722787375213743
450,0,49,2,2,1,63800,6.0,23,1,22.0,1,9,2,3,4,4,4.0,3.0,4.0,0,1,0,1,0,0,0,0,0,0,1,0,1.3201924492055013,-0.8389620245449556,-0.027692595780588428,1.32776773201473,2.0651720014466934,1.375350527475943,-1.3952830390889681,0.3235515883389218,-0.05987766357108876,-0.3170813031316719,1.6281804499110304,1.1294725337590612,0.9869564153636615,-0.0948566558580675,1.0722787375213743
